match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2
2022-wimbledon-5102,2022,wimbledon,5102,Matthew Ebden,Joran Vliegen,,,,,,,,,,,Samantha Stosur,Ulrikke Eikeri
2022-wimbledon-5103,2022,wimbledon,5103,Michael Venus,Jamie Murray,,,,,,,,,,,Alicja Rosolska,Venus Williams
2022-wimbledon-5106,2022,wimbledon,5106,Jack Sock,Kyle Edmund,,,,,,,,,,,Coco Gauff,Olivia Nicholls
2022-wimbledon-5107,2022,wimbledon,5107,Maximo Gonzalez,Edouard Roger Vasselin,,,,,,,,,,,Kaitlyn Christian,Alize Cornet
2022-wimbledon-5110,2022,wimbledon,5110,Ivan Dodig,Andreas Mies,,,,,,,,,,,Latisha Chan,Erin Routliffe
2022-wimbledon-5111,2022,wimbledon,5111,Rafael Matos,Bruno Soares,,,,,,,,,,,Lyudmyla Kichenok,Beatriz Haddad Maia
2022-wimbledon-5114,2022,wimbledon,5114,Nikola Cacic,Kevin Krawietz,,,,,,,,,,,Aleksandra Krunic,Nicole Melichar Martinez
2022-wimbledon-5115,2022,wimbledon,5115,Matwe Middelkoop,Santiago Gonzalez,,,,,,,,,,,Ellen Perez,Zhaoxuan Yang
2022-wimbledon-5201,2022,wimbledon,5201,Jean Julien Rojer,Matthew Ebden,,,,,,,,,,,Ena Shibahara,Samantha Stosur
2022-wimbledon-5202,2022,wimbledon,5202,Jamie Murray,Jonny O'Mara,,,,,,,,,,,Venus Williams,Alicia Barnett
2022-wimbledon-5203,2022,wimbledon,5203,Nicolas Mahut,Jack Sock,,,,,,,,,,,Shuai Zhang,Coco Gauff
2022-wimbledon-5204,2022,wimbledon,5204,Edouard Roger Vasselin,Filip Polasek,,,,,,,,,,,Alize Cornet,Andreja Klepac
2022-wimbledon-5206,2022,wimbledon,5206,Bruno Soares,John Peers,,,,,,,,,,,Beatriz Haddad Maia,Gabriela Dabrowski
2022-wimbledon-5207,2022,wimbledon,5207,Robert Farah,Nikola Cacic,,,,,,,,,,,Jelena Ostapenko,Aleksandra Krunic
2022-wimbledon-5208,2022,wimbledon,5208,Matwe Middelkoop,Neal Skupski,,,,,,,,,,,Ellen Perez,Desirae Krawczyk
2022-wimbledon-5301,2022,wimbledon,5301,Matthew Ebden,Jonny O'Mara,,,,,,,,,,,Samantha Stosur,Alicia Barnett
2022-wimbledon-5302,2022,wimbledon,5302,Jack Sock,Edouard Roger Vasselin,,,,,,,,,,,Coco Gauff,Alize Cornet
2022-wimbledon-5303,2022,wimbledon,5303,Mate Pavic,John Peers,,,,,,,,,,,Sania Mirza,Gabriela Dabrowski
2022-wimbledon-5304,2022,wimbledon,5304,Robert Farah,Neal Skupski,,,,,,,,,,,Jelena Ostapenko,Desirae Krawczyk
2022-wimbledon-5401,2022,wimbledon,5401,Matthew Ebden,Jack Sock,,,,,,,,,,,Samantha Stosur,Coco Gauff
2022-wimbledon-5402,2022,wimbledon,5402,Mate Pavic,Neal Skupski,,,,,,,,,,,Sania Mirza,Desirae Krawczyk
2022-wimbledon-5501,2022,wimbledon,5501,Matthew Ebden,Neal Skupski,,,,,,,,,,,Samantha Stosur,Desirae Krawczyk
