match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2,nation_partner1,nation_partner2
2019-ausopen-MD101,2019,ausopen,MD101,O. Marach,S. Bolelli,,,,,,,,,AUT,ITA,M. Pavic,A. Seppi,CRO,ITA
2019-ausopen-MD102,2019,ausopen,MD102,M. Purcell,M. Gonzalez,,,,,,,,,AUS,ARG,L. Saville,N. Jarry,AUS,CHI
2019-ausopen-MD103,2019,ausopen,MD103,R. Carballes Baena,H. Nys,,,,,,,,,ESP,FRA,A. Rublev,B. Paire,RUS,FRA
2019-ausopen-MD104,2019,ausopen,MD104,L. Mayer,F. Lopez,,,,,,,,,ARG,ESP,J. Sousa,M. Lopez,POR,ESP
2019-ausopen-MD105,2019,ausopen,MD105,D. Inglot,T. Daniel,,,,,,,,,GBR,JPN,F. Skugor,J. Millman,CRO,AUS
2019-ausopen-MD106,2019,ausopen,MD106,M. Demoliner,G. Granollers,,,,,,,,,BRA,ESP,F. Nielsen,M. Granollers,DEN,ESP
2019-ausopen-MD107,2019,ausopen,MD107,L. Hewitt,M. Daniell,,,,,,,,,AUS,NZL,J. Smith,W. Koolhof,AUS,NED
2019-ausopen-MD108,2019,ausopen,MD108,B. Klahn,R. Klaasen,,,,,,,,,USA,RSA,M. Kukushkin,M. Venus,KAZ,NZL
2019-ausopen-MD109,2019,ausopen,MD109,J. Murray,R. Jebavy,,,,,,,,,GBR,CZE,B. Soares,A. Molteni,BRA,ARG
2019-ausopen-MD110,2019,ausopen,MD110,L. Bambridge,M. Copil,,,,,,,,,GBR,ROU,J. O'Mara,M. Fucsovics,GBR,HUN
2019-ausopen-MD111,2019,ausopen,MD111,K. Krawietz,N. Monroe,,,,,,,,,GER,USA,N. Mektic,J. Nedunchezhiyan,CRO,IND
2019-ausopen-MD112,2019,ausopen,MD112,N. Kyrgios,I. Dodig,,,,,,,,,AUS,CRO,M. Reid,E. Roger-Vasselin,AUS,FRA
2019-ausopen-MD113,2019,ausopen,MD113,H. Kontinen,S. Gonzalez,,,,,,,,,FIN,MEX,J. Peers,A. Qureshi,AUS,PAK
2019-ausopen-MD114,2019,ausopen,MD114,J. Duckworth,K. Skupski,,,,,,,,,AUS,GBR,J. Thompson,N. Skupski,AUS,GBR
2019-ausopen-MD115,2019,ausopen,MD115,M. Ebden,S. Johnson,,,,,,,,,AUS,USA,R. Lindstedt,D. Kudla,SWE,USA
2019-ausopen-MD116,2019,ausopen,MD116,R. Albot,B. Mclachlan,,,,,,,,,MDA,JPN,M. Jaziri,J. Struff,TUN,GER
2019-ausopen-MD117,2019,ausopen,MD117,P. Herbert,D. Marrero,,,,,,,,,FRA,ESP,N. Mahut,M. Zverev,FRA,GER
2019-ausopen-MD118,2019,ausopen,MD118,D. Molchanov,M. Berrettini,,,,,,,,,UKR,ITA,I. Zelenay,M. Cecchinato,SVK,ITA
2019-ausopen-MD119,2019,ausopen,MD119,P. Oswald,P. Cuevas,,,,,,,,,AUT,URU,T. Puetz,F. Verdasco,GER,ESP
2019-ausopen-MD120,2019,ausopen,MD120,G. Pella,R. Ram,,,,,,,,,ARG,USA,H. Podlipnik-Castillo,J. Salisbury,CHI,GBR
2019-ausopen-MD121,2019,ausopen,MD121,R. Bopanna,P. Carreno Busta,,,,,,,,,IND,ESP,D. Sharan,G. Garcia-Lopez,IND,ESP
2019-ausopen-MD122,2019,ausopen,MD122,M. Gong,M. Klizan,,,,,,,,,CHN,SVK,Z. Zhang,M. Matkowski,CHN,POL
2019-ausopen-MD123,2019,ausopen,MD123,P. Gojowczyk,A. Mannarino,,,,,,,,,GER,FRA,A. Ramos-Vinolas,A. Mies,ESP,GER
2019-ausopen-MD124,2019,ausopen,MD124,A. Bolt,B. Bryan,,,,,,,,,AUS,USA,M. Polmans,M. Bryan,AUS,USA
2019-ausopen-MD125,2019,ausopen,MD125,L. Kubot,A. Bedene,,,,,,,,,POL,SLO,H. Zeballos,M. Marterer,ARG,GER
2019-ausopen-MD126,2019,ausopen,MD126,M. Mcdonald,J. Chardy,,,,,,,,,USA,FRA,T. Sandgren,F. Martin,USA,FRA
2019-ausopen-MD127,2019,ausopen,MD127,G. Duran,B. Ellis,,,,,,,,,ARG,AUS,D. Schwartzman,A. Popyrin,ARG,AUS
2019-ausopen-MD128,2019,ausopen,MD128,M. Arevalo,J. Rojer,,,,,,,,,ESA,NED,J. Cerretani,H. Tecau,USA,ROU
2019-ausopen-MD129,2019,ausopen,MD129,R. Haase,R. Harrison,,,,,,,,,NED,USA,M. Middelkoop,S. Querrey,NED,USA
2019-ausopen-MD130,2019,ausopen,MD130,A. Krajicek,L. Paes,,,,,,,,,USA,IND,A. Sitak,M. Reyes-Varela,NZL,MEX
2019-ausopen-MD131,2019,ausopen,MD131,T. Fritz,M. Basic,,,,,,,,,USA,BIH,C. Norrie,D. Dzumhur,GBR,BIH
2019-ausopen-MD132,2019,ausopen,MD132,J. Sock,J. Cabal,,,,,,,,,USA,COL,J. Withrow,R. Farah,USA,COL
2019-ausopen-MD201,2019,ausopen,MD201,O. Marach,M. Gonzalez,,,,,,,,,AUT,ARG,M. Pavic,N. Jarry,CRO,CHI
2019-ausopen-MD202,2019,ausopen,MD202,R. Carballes Baena,L. Mayer,,,,,,,,,ESP,ARG,A. Rublev,J. Sousa,RUS,POR
2019-ausopen-MD203,2019,ausopen,MD203,D. Inglot,M. Demoliner,,,,,,,,,GBR,BRA,F. Skugor,F. Nielsen,CRO,DEN
2019-ausopen-MD204,2019,ausopen,MD204,M. Daniell,R. Klaasen,,,,,,,,,NZL,RSA,W. Koolhof,M. Venus,NED,NZL
2019-ausopen-MD205,2019,ausopen,MD205,J. Murray,L. Bambridge,,,,,,,,,GBR,GBR,B. Soares,J. O'Mara,BRA,GBR
2019-ausopen-MD206,2019,ausopen,MD206,K. Krawietz,I. Dodig,,,,,,,,,GER,CRO,N. Mektic,E. Roger-Vasselin,CRO,FRA
2019-ausopen-MD207,2019,ausopen,MD207,H. Kontinen,K. Skupski,,,,,,,,,FIN,GBR,J. Peers,N. Skupski,AUS,GBR
2019-ausopen-MD208,2019,ausopen,MD208,S. Johnson,R. Albot,,,,,,,,,USA,MDA,D. Kudla,M. Jaziri,USA,TUN
2019-ausopen-MD209,2019,ausopen,MD209,P. Herbert,D. Molchanov,,,,,,,,,FRA,UKR,N. Mahut,I. Zelenay,FRA,SVK
2019-ausopen-MD210,2019,ausopen,MD210,P. Cuevas,R. Ram,,,,,,,,,URU,USA,F. Verdasco,J. Salisbury,ESP,GBR
2019-ausopen-MD211,2019,ausopen,MD211,P. Carreno Busta,M. Gong,,,,,,,,,ESP,CHN,G. Garcia-Lopez,Z. Zhang,ESP,CHN
2019-ausopen-MD212,2019,ausopen,MD212,A. Mannarino,B. Bryan,,,,,,,,,FRA,USA,A. Mies,M. Bryan,GER,USA
2019-ausopen-MD213,2019,ausopen,MD213,L. Kubot,J. Chardy,,,,,,,,,POL,FRA,H. Zeballos,F. Martin,ARG,FRA
2019-ausopen-MD214,2019,ausopen,MD214,B. Ellis,M. Arevalo,,,,,,,,,AUS,ESA,A. Popyrin,J. Cerretani,AUS,USA
2019-ausopen-MD215,2019,ausopen,MD215,R. Harrison,A. Krajicek,,,,,,,,,USA,USA,S. Querrey,A. Sitak,USA,NZL
2019-ausopen-MD216,2019,ausopen,MD216,T. Fritz,J. Sock,,,,,,,,,USA,USA,C. Norrie,J. Withrow,GBR,USA
2019-ausopen-MD301,2019,ausopen,MD301,M. Gonzalez,L. Mayer,,,,,,,,,ARG,ARG,N. Jarry,J. Sousa,CHI,POR
2019-ausopen-MD302,2019,ausopen,MD302,M. Demoliner,R. Klaasen,,,,,,,,,BRA,RSA,F. Nielsen,M. Venus,DEN,NZL
